,HV
0,3.6393489837646484
1,4.222101211547852
2,4.361312389373779
3,4.667527198791504
4,4.87033224105835
5,4.959407806396484
6,4.959407806396484
7,5.004693031311035
8,5.004693031311035
9,5.018310546875
10,5.018310546875
11,5.018310546875
12,5.041016578674316
13,5.041016578674316
14,5.041016578674316
15,5.11549186706543
16,5.11549186706543
17,5.11549186706543
18,5.11549186706543
19,5.11549186706543
20,5.11549186706543
21,5.11549186706543
22,5.11549186706543
23,5.11549186706543
24,5.11549186706543
25,5.115750789642334
26,5.115750789642334
27,5.115750789642334
28,5.123298645019531
29,5.425118923187256
30,5.425118923187256
31,5.425118923187256
32,5.426249980926514
33,5.426249980926514
34,5.426249980926514
35,5.428499698638916
36,5.432791709899902
37,5.432791709899902
38,5.432791709899902
39,5.432791709899902
40,5.432791709899902
41,5.432791709899902
42,5.433077335357666
43,5.433077335357666
44,5.433077335357666
45,5.4795708656311035
46,5.4795708656311035
47,5.4795708656311035
48,5.890794277191162
49,5.890794277191162
50,5.890794277191162
