,HV
0,2.8630385398864746
1,4.013835430145264
2,4.295658111572266
3,4.295658111572266
4,4.312230587005615
5,4.705826759338379
6,4.710222244262695
7,4.712337017059326
8,5.400717258453369
9,5.406049728393555
10,5.516820430755615
11,5.576839447021484
12,5.576839447021484
13,5.655397891998291
14,5.663338661193848
15,5.6779303550720215
16,5.929490089416504
17,5.933554649353027
18,6.169233798980713
19,6.259231090545654
20,6.2730021476745605
21,6.304230690002441
22,6.32163667678833
23,6.445164680480957
24,6.46458625793457
25,6.46458625793457
26,6.471803188323975
27,6.617279052734375
28,6.61982536315918
29,6.61982536315918
30,6.61982536315918
31,6.61982536315918
32,6.61982536315918
33,6.61982536315918
34,6.732521057128906
35,6.732521057128906
36,6.747444152832031
37,6.892932891845703
38,6.892932891845703
39,6.892932891845703
40,6.892932891845703
41,6.892932891845703
42,6.892932891845703
43,6.892932891845703
44,6.894322872161865
45,6.894322872161865
46,6.894322872161865
47,6.894322872161865
48,6.894322872161865
49,6.894322872161865
50,6.894322872161865
