,Serial,SMILES,Bit_0,Bit_1,Bit_2,Bit_3,Bit_4,Bit_5,Bit_6,Bit_7,Bit_8,Bit_9,Bit_10,Bit_11,Bit_12,Bit_13,Bit_14,Bit_15,Bit_16,Bit_17,Bit_18,Bit_19,Bit_20,Bit_21,Bit_22,Bit_23,Bit_24,TC,SA,Gen
0,"[21, 3, 8, 13, 14]",O=C(Oc1ccc(c2ccc3oc([*])nc3c2)cc1)Nc1ccc(Nc2ccc3[nH]c([*])nc3c2)cc1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.366,-3.195527713850467,0
1,"[23, 20, 11, 12, 5]",O=C(C=CC(=O)NC(=O)C(=O)NNC(=O)c1ccc(C(=O)c2ncc(c3ccc4cc([*])ccc4c3)cn2)cc1)N[*],1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.424,-3.5758333742493127,0
2,"[9, 21, 0, 26, 15]",O=C(C=Cc1ccc2oc(c3ccc([*])o3)nc2c1)c1ccc(Nc2ccc3nc([*])[nH]c3c2)cc1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.363,-3.4166568896830825,0
3,"[13, 14, 1, 12, 8]",O=C(O[*])c1cnc(CCCCCCc2nc3cc(Nc4ccc(N[*])cc4)ccc3[nH]2)nc1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.328,-3.3066090644509885,0
4,"[4, 27, 30, 10, 23]",O=C(C=CC(=O)NC(=O)C=CC(=O)n1c(=O)c2cc3c(=O)n(N4C(=O)c5ccc(c6ccc([*])[nH]6)cc5C4=O)c(=O)c3cc2c1=O)N[*],0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.409,-4.18153548924348,0
5,"[11, 23, 27, 21, 8]",O=C(C=CC(=O)NN1C(=O)c2ccc(c3nc4cc(C(=O)O[*])ccc4o3)cc2C1=O)NC(=O)c1ccc(C(=O)[*])cc1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.347,-3.4902853915409953,0
6,"[1, 9, 1, 24, 5]",O=C(C=CC(=O)c1ccc2cc([*])ccc2c1)NCCCCCCc1ccc(CCCCCC[*])o1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.272,-3.4142723461496933,0
7,"[31, 28, 20, 21, 21]",O=C(NNNC(=O)c1ccc(C(=O)N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N([*])C4=O)cc1)C(=O)c1nc2cc(c3nc4cc([*])ccc4o3)ccc2o1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.367,-4.552403458713145,0
8,"[9, 2, 18, 16, 1]",O=C(NCC#CC=Cc1ccc([*])o1)Nc1nc2cc3nc(CCCCCC[*])[nH]c3cc2[nH]1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.305,-3.986091581933506,0
9,"[25, 18, 1, 28, 31]",O=C(NCCCCCCCC(=O)c1ccc(C(=O)NN2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N([*])C4=O)cc1)NNC(=O)c1ccc([*])cc1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.267,-4.088268952066095,0
10,"[29, 3, 8, 13, 14]",O=C([*])Nc1ccc(NC(=O)c2ccc(OC(=O)Nc3ccc(Nc4ccc5[nH]c([*])nc5c4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.413,-2.993802402301723,1
11,"[25, 8, 0, 28, 29]",O=C([*])Nc1ccc(NC(=O)NC(=O)c2ccc(C(=O)C=COC(=O)NC(=O)c3ccc([*])cc3)cc2)cc1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.58,-3.2917606920251234,1
12,"[29, 1, 0, 26, 14]",O=C([*])Nc1ccc(NC(=O)CCCCCCC=CC(=O)c2ccc(Nc3ccc4[nH]c([*])nc4c3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.396,-3.1899674859137646,1
14,"[29, 28, 20, 5, 21]",O=C([*])Nc1ccc(NC(=O)C(=O)c2ccc(C(=O)NNNC(=O)C(=O)c3ccc4cc(c5nc6cc([*])ccc6o5)ccc4c3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.431,-3.59623765092571,1
22,"[28, 29, 8, 29, 6]",O=C(Nc1ccc(NC(=O)OC(=O)C(=O)Nc2ccc(NC(=O)c3ccc4c(c3)Cc3cc([*])ccc3-4)cc2)cc1)NC(=O)c1ccc(C(=O)[*])cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.623,-3.4459823743882483,2
26,"[25, 8, 16, 28, 29]",O=C([*])Nc1ccc(NC(=O)NC(=O)c2ccc(C(=O)c3nc4cc5nc(OC(=O)NC(=O)c6ccc([*])cc6)[nH]c5cc4[nH]3)cc2)cc1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.548,-3.6284895901904406,2
27,"[29, 2, 20, 5, 21]",O=C([*])Nc1ccc(NC(=O)C=CC#CNNC(=O)C(=O)c2ccc3cc(c4nc5cc([*])ccc5o4)ccc3c2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.403,-3.8050374834734537,2
29,"[29, 3, 9, 13, 14]",O=C([*])Nc1ccc(NC(=O)c2ccc(c3ccc(Nc4ccc(Nc5ccc6[nH]c([*])nc6c5)cc4)o3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.389,-3.2238477543121506,2
33,"[29, 3, 8, 26, 5]",O=C([*])Nc1ccc(NC(=O)c2ccc(OC(=O)C(=O)c3ccc(Nc4ccc5cc([*])ccc5c4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.387,-3.052292735396639,3
34,"[29, 1, 0, 26, 15]",O=C([*])Nc1ccc(NC(=O)CCCCCCC=CC(=O)c2ccc(Nc3ccc4nc([*])[nH]c4c3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.396,-3.1770556464488813,3
35,"[25, 8, 11, 12, 29]",O=C([*])Nc1ccc(NC(=O)c2cnc(C(=O)c3ccc(C(=O)OC(=O)NC(=O)c4ccc([*])cc4)cc3)nc2)cc1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.544,-3.3113119922414906,3
38,"[29, 19, 9, 13, 5]",O=C([*])Nc1ccc(NC(=O)C(=O)NNC(=O)c2ccc(Nc3ccc(Nc4ccc5cc([*])ccc5c4)cc3)o2)cc1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.405,-3.3410821363815195,3
39,"[24, 29, 8, 13, 6]",O=C(C=CC(=O)C(=O)Nc1ccc(NC(=O)OC(=O)Nc2ccc(Nc3ccc4c(c3)Cc3cc([*])ccc3-4)cc2)cc1)N[*],1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.481,-3.5502614616738413,3
43,"[28, 29, 13, 12, 15]",O=C(Nc1ccc(NC(=O)Nc2ccc(Nc3ncc(c4ccc5nc([*])[nH]c5c4)cn3)cc2)cc1)NC(=O)c1ccc(C(=O)[*])cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.578,-3.243374376443237,4
44,"[29, 3, 0, 26, 14]",O=C([*])Nc1ccc(NC(=O)c2ccc(C=CC(=O)c3ccc(Nc4ccc5[nH]c([*])nc5c4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.455,-3.0388806631712892,4
46,"[29, 3, 8, 24, 5]",O=C([*])Nc1ccc(NC(=O)c2ccc(OC(=O)NC(=O)C=CC(=O)c3ccc4cc([*])ccc4c3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.397,-3.1967153202879324,4
